minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.621886615179393,30.527295640811282,16.00755896776735,36.29917157619912,8.472099785994088,14.414773315126892,12.107558171741033,29.231230789165483
0,Marvin the Martian,0.6082997618742618,33.96755774413673,14.59582083689461,30.898487123061134,8.193181910741092,26.557439978822618,11.129754312921268,17.536880233109702
0,Road Runner,0.6262769960492616,22.932448071604377,13.750651022864306,35.43340547241531,5.9113941244516095,26.310043616358065,13.366737475618118,24.493092521821477
0,Foghorn Leghorn,0.6183669375417972,30.42353548794518,15.574958035026391,35.942972070292086,6.9102514825956245,19.34909095084225,15.914510950106473,31.66773967914408
0,Bugs Bunny,0.6178539171246044,34.273898380097144,17.411658184541945,34.31112589373676,4.165789063743725,22.727222612501702,16.283106483285597,29.12634597746595
0,Elmer Fudd,0.6332708499922082,31.709472249041788,14.825953409816519,36.928429255107744,3.680304073440054,26.210702315447264,18.443084316630838,33.72024805205214
0,Lola Bunny,0.6473588583516375,34.63091859232377,13.601745209016704,36.66670103969086,2.6680270911987445,24.097070356536385,16.690453321049137,34.464607648145204
0,Porky Pig,0.6236436648968171,29.512239880062513,16.221638341863702,38.62024227727166,3.4603742879806183,17.625624728978032,12.473683815572386,30.28019514988397
0,Tasmanian Devil,0.6006489916907224,26.804311883464063,14.52185194548443,36.408552505125996,5.579605886891582,19.75512085849877,5.473512224096544,16.756733345740873
0,Gossamer,0.6234598929018837,31.889194340702666,15.740471376640457,32.86310890445161,5.593600515982262,13.269940514944146,15.589388057730995,33.810033305138305
0,Granny,0.6125827228737128,28.75764456671285,12.970047460370118,35.54416398529355,6.723790774809432,16.207469903257085,16.295309511986463,34.905741916278416
0,Wile E. Coyote,0.6206690755364135,35.87688755588829,12.951834341853543,37.09979328373654,5.73241582547412,22.923024586775433,10.369424913008675,24.871719690398653
0,Tweety,0.6113233895138079,24.412288052202566,11.048980351575043,36.10600178003799,8.982249044281991,24.45288042544736,12.211342317524526,24.46805315922538
0,Penelope,0.6120926728889229,25.937624287052767,14.21184062427366,28.786705368791587,6.853471338491049,23.83109993973253,9.872472381076879,16.191665470876405
0,Daffy Duck,0.6094378121265892,29.389015087156594,15.358691460028629,33.590412096044,4.963889804555237,23.692068383587678,12.354480787480485,22.625284064409446
12,Sylvester,0.6221388288781611,29.925897825299778,15.21907133472415,34.35326822710041,7.667888130784526,22.496276010251343,16.251388510052436,29.40720091784974
